N	 Target		Hours		Beam Ener	Beam Current		
1        H2		8		1.1  		2    			
2 	 NO		8		0		0			
3        Ar		24		1.1		2			
4        NO		16		0		0			
5        Ar		48		2.2		4			
6        NO		8		0		0			
7        H2		8		2.2		4			
8        NO		8		0		0			
9        Ar		48		4.4		13			
10       NO		4		0		0			
11       Ar		96		6.6		18			
12       NO		2		0		0			
13       C		96		6.6		32			
14       Si		96		6.6		54			
15       Sn		192		6.6		53			
16       Pb		240		6.6		38			
17       NO		4		0		0			
18       C		48		4.4		24			
19       Sn		48		4.4		40			
20       Pb		48		4.4		28			
21       NO		4		0		0			
22       C		48		2.2		24			
